City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country,Latitude,Longitude
Vancouver,1.9303763440860215,2.391548463356974,2.6943548387096774,2.589722222222222,1.9940860215053764,2.113611111111111,2.557258064516129,2.558483463296585,2.5073631564323424,2.4235537190082646,2.7544444444444443,2.6836021505376344,Canada,49.24966,-123.119339
Portland,2.1723118279569893,2.510047281323877,2.3276881720430107,2.0705555555555555,1.7481182795698924,1.4369444444444444,2.1043010752688174,1.6956989247311829,1.668611111111111,1.781172770164008,2.6530137305096577,2.40994623655914,United States,45.523449,-122.676208
San Francisco,2.35,3.1906028368794326,3.139516129032258,3.814722222222222,3.3989247311827957,2.238611111111111,2.827910728690508,2.5545698924731184,2.6233333333333335,2.295684113865932,2.3272222222222223,2.7951612903225804,United States,37.774929,-122.419418
Seattle,1.7129032258064516,2.3481087470449173,2.4545698924731183,2.310277777777778,1.9158602150537634,1.7458333333333333,2.068548387096774,1.8290322580645162,2.0494444444444446,2.141091889463042,2.4105189667209683,2.3940860215053763,United States,47.606209,-122.33206899999999
Los Angeles,1.1045698924731182,0.95951536643026,1.257258064516129,1.4644444444444444,1.5155913978494624,1.1894444444444445,1.6596774193548387,1.3190860215053763,1.2561111111111112,0.873736239047405,1.0153595531766348,1.104032258064516,United States,34.052231,-118.243683
San Diego,1.4475806451612903,1.7467494089834514,1.835752688172043,2.251388888888889,2.1059139784946237,1.5608333333333333,1.972043010752688,1.678225806451613,1.8180555555555555,1.5102224219276568,1.6129858040493368,1.5583333333333333,United States,32.715328,-117.157257
Las Vegas,2.164335664335664,2.2485224586288415,2.722431414739107,3.243400944706863,3.177293516276567,2.345833333333333,2.955621301775148,2.2306451612903224,2.262777777777778,2.020013492241961,2.17733302303933,2.1411290322580645,United States,36.174969,-115.137222
Phoenix,1.6556451612903227,1.6173167848699763,1.7483194407098683,2.2752777777777777,2.1588709677419353,2.0147222222222223,2.5551075268817205,2.049731182795699,2.0275,1.6659177712873512,1.6744240167558762,1.542741935483871,United States,33.44838,-112.07404299999999
Albuquerque,2.456451612903226,2.8847517730496453,3.23379069141781,3.775,3.216666666666667,2.6308333333333334,2.910483870967742,2.365322580645161,2.568888888888889,2.2599415861604135,2.614847568070747,2.402688172043011,United States,35.084492,-106.65113799999999
Denver,2.304301075268817,3.267730496453901,3.1505781123958054,3.1019444444444444,2.310483870967742,1.8163888888888888,2.2026881720430107,2.0422043010752686,2.2391666666666667,2.1718714895529097,2.394926693041657,2.3948924731182797,United States,39.739151,-104.984703
San Antonio,2.754569892473118,3.230496453900709,3.371505376344086,3.4283333333333332,3.680913978494624,2.9291666666666667,3.300268817204301,2.979569892473118,2.629166666666667,2.8240844753987866,2.653944612520363,2.596774193548387,United States,29.424120000000002,-98.493629
Dallas,3.4008064516129033,4.135933806146572,4.054032258064516,4.5119444444444445,3.992741935483871,3.493888888888889,3.5540322580645163,2.9376344086021504,3.0844444444444443,3.564367557852168,3.56202001396323,3.3670341489647755,United States,32.783058000000004,-96.806671
Houston,2.9486559139784947,3.519208037825059,3.625537634408602,3.621111111111111,3.3967741935483873,2.623611111111111,2.600537634408602,2.5018817204301076,2.2916666666666665,2.655955056179775,2.949953445065177,2.9172043010752686,United States,29.763281,-95.363274
Kansas City,3.3435483870967744,3.7715721040189125,3.9290322580645163,4.008333333333334,3.33494623655914,3.3027777777777776,3.243010752688172,2.7733870967741936,3.1038888888888887,3.557852168052123,3.7658831743076564,2.992741935483871,United States,39.099731,-94.578568
Minneapolis,3.2018817204301073,3.7355200945626477,3.73252688172043,4.225833333333333,3.5516129032258066,3.09,3.0223118279569894,2.6317912856374397,3.1894444444444443,3.5627948775556053,3.5029090062834536,3.129032258064516,United States,44.979969,-93.26384
Saint Louis,3.378225806451613,3.817671394799054,3.7088709677419356,3.6258333333333335,2.904032258064516,2.48,2.4379032258064517,2.1994623655913976,2.453888888888889,3.3383509323747473,3.2201535955317664,2.9809139784946237,United States,38.62727,-90.197891
Chicago,4.158064516129032,4.612884160756501,4.199193548387097,4.181111111111111,3.399462365591398,2.807777777777778,3.1946236559139787,2.8086021505376344,3.2575,4.13277915075264,4.258087037468001,3.9948924731182798,United States,41.850029,-87.650047
Nashville,2.6862903225806454,3.069739952718676,3.110483870967742,3.0455555555555556,2.302688172043011,1.8457904973603778,1.9373655913978494,1.7649905888679753,1.8272222222222223,2.272298359919119,2.5824994181987435,2.6887096774193546,United States,36.165890000000005,-86.784439
Indianapolis,3.6440860215053763,3.978132387706856,4.033602150537634,4.017777777777778,3.2946236559139783,2.641388888888889,2.7233870967741933,2.163978494623656,2.2808333333333333,3.237474724780948,3.37281824528741,3.335215053763441,United States,39.768378999999996,-86.158043
Atlanta,2.2728494623655915,2.734042553191489,2.7548387096774194,2.5816666666666666,2.186559139784946,1.9352777777777779,1.9440860215053763,1.8553763440860216,1.9025,2.1078409346214335,2.3630439841750057,2.168010752688172,United States,33.749001,-84.387978
Detroit,3.45752688172043,3.559692671394799,3.452956989247312,3.5180555555555557,3.1448924731182797,2.7730555555555556,2.6379032258064514,2.4228494623655914,2.613888888888889,3.449337227589306,3.5932045613218526,3.2513440860215055,United States,42.331429,-83.045753
Jacksonville,2.8836021505376346,3.1758274231678487,3.1739247311827956,3.2288888888888887,2.872043010752688,2.33,2.750537634408602,2.5196236559139784,2.513888888888889,2.89957312963379,3.056085641144985,2.546236559139785,United States,30.332179999999997,-81.655647
Charlotte,2.3768817204301076,2.869385342789598,2.764784946236559,2.8538888888888887,2.35241935483871,1.9577660461239232,2.0698924731182795,2.0094086021505375,2.2869444444444444,2.5738036396315436,2.3823597858971377,2.086559139784946,United States,35.227089,-80.843132
Miami,3.0908602150537634,3.4296690307328603,3.4137096774193547,3.6730555555555555,3.3440860215053765,2.944722222222222,2.9693548387096773,2.829032258064516,2.8777777777777778,3.665365181442352,3.578611111111111,2.9701612903225807,United States,25.774269,-80.193657
Pittsburgh,3.0126344086021506,3.1976950354609928,3.1975806451612905,3.1033333333333335,2.493279569892473,1.8572222222222223,2.0166666666666666,1.6134408602150538,1.7316666666666667,2.363064479892159,2.7163137072376076,2.8661290322580646,United States,40.44062,-79.995888
Toronto,4.968548387096774,5.2293144208037825,4.393548387096774,4.449166666666667,3.2021505376344086,2.6883333333333335,2.933333333333333,2.739784946236559,2.8161111111111112,3.9267580319029434,4.217593670002327,4.40241935483871,Canada,43.700111,-79.416298
Philadelphia,2.7844086021505374,3.2689125295508275,3.306720430107527,3.1277777777777778,2.5806451612903225,2.13,2.421618714708255,1.985483870967742,2.1997222222222224,2.644574252976859,2.770304863858506,2.5196236559139784,United States,39.952339,-75.163788
New York,3.4900537634408604,3.7644799054373523,4.011021505376344,3.881388888888889,2.6766129032258066,2.3230555555555554,2.5903225806451613,2.5524193548387095,2.7422222222222223,3.2219926538108354,3.8494444444444444,3.475,United States,40.714271999999994,-74.005966
Montreal,4.108870967741935,4.195035460992908,4.203225806451613,4.378888888888889,3.95994623655914,3.0733333333333333,3.4459677419354837,3.2712365591397847,3.3041666666666667,3.756009885419007,4.104724226204328,4.162903225806452,Canada,45.508839,-73.587807
Boston,3.6768817204301074,4.151595744680851,4.20483870967742,4.007777777777778,3.1739247311827956,2.8105555555555557,2.839247311827957,2.54005376344086,3.002222222222222,3.523702538755336,3.5129159878985337,3.1376344086021506,United States,42.358429,-71.05976899999999
Beersheba,2.0190860215053763,1.997340425531915,2.2456989247311827,2.2016666666666667,2.1467741935483873,2.125,2.1233870967741937,2.0561827956989247,1.98,1.6260330578512396,1.7647222222222223,1.6526881720430107,Israel,31.25181,34.791302
Tel Aviv District,2.846505376344086,2.6377068557919623,2.9766129032258064,2.908888888888889,2.8448507663350364,2.5297222222222224,2.786290322580645,2.8298387096774196,2.7369444444444446,2.4269972451790633,2.495,2.6841397849462365,Israel,32.083328,34.799999
Eilat,2.7553763440860215,2.555260047281324,2.850806451612903,2.957222222222222,3.5432795698924733,4.0525,4.610483870967742,4.270430107526882,4.311111111111111,3.4287353683727337,3.0641666666666665,2.9731182795698925,Israel,29.55805,34.948212
Haifa,4.046774193548387,3.937647754137116,4.083624630276956,3.565,3.114247311827957,2.8269444444444445,2.914516129032258,2.710215053763441,2.8608333333333333,2.91712580348944,3.4233333333333333,3.299005108900242,Israel,32.815559,34.98917
Nahariyya,3.4908602150537633,3.205082742316785,3.684592632428072,3.1033333333333335,2.542741935483871,2.6144444444444446,2.8639784946236557,2.668548387096774,2.761111111111111,2.8422865013774103,3.3783333333333334,3.1760752688172045,Israel,33.005859,35.09409
Jerusalem,2.0618279569892475,2.0546690307328603,2.108064516129032,2.087222222222222,2.006722237160527,1.6344444444444444,2.0172043010752687,1.896505376344086,1.7544444444444445,1.4058769513314968,1.7602777777777778,1.8610215053763441,Israel,31.769039000000003,35.216331
